City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Rivadavia,AR,-33.1905,-68.4608,72.07,20,0,8.39,clear sky
149,Omboue,GA,-1.5746,9.2618,76.48,90,76,5.84,light rain
150,Filadelfia,US,39.9523,-75.1638,59.27,85,75,1.01,broken clouds
151,Sovetskiy,RU,61.3614,63.5842,30.33,95,100,2.33,overcast clouds
152,Bougouni,ML,11.417,-7.479,74.79,81,61,3.47,light rain
153,Oranjestad,AW,12.524,-70.027,82.35,69,20,18.41,few clouds
154,Cockburn Town,TC,21.4612,-71.1419,82.87,74,55,19.28,broken clouds
155,Ulundi,ZA,-28.3352,31.4162,56.01,85,100,1.03,overcast clouds
156,Jalu,LY,29.0331,21.5482,70.36,39,37,13.06,scattered clouds
157,Diffa,NE,13.3154,12.6113,82.94,26,98,8.88,overcast clouds
158,Edmundston,CA,47.3737,-68.3251,42.13,57,75,4.61,broken clouds
159,Kavaratti,IN,10.5669,72.642,81.63,77,100,10.45,overcast clouds
160,Sioux Lookout,CA,50.1001,-91.917,34.18,86,1,2.3,clear sky
161,Vestmannaeyjar,IS,63.4427,-20.2734,44.58,90,100,1.74,overcast clouds
162,Marzuq,YE,14.4,46.4667,67.28,27,2,1.12,clear sky
163,Zhovtneve,UA,50.6637,24.2492,33.42,76,24,6.62,few clouds
164,Njeru,UG,0.4186,33.1731,64.8,82,65,1.57,broken clouds
165,Inta,RU,66.0317,60.1659,25.92,96,100,9.53,light snow
166,Lisakovsk,KZ,52.5369,62.4936,48.0,94,100,4.61,light rain
167,Rocha,UY,-34.4833,-54.3333,59.97,51,0,15.26,clear sky
168,Santa Luzia,BR,-19.7697,-43.8514,72.5,83,0,0.0,clear sky
169,Clyde River,CA,70.4692,-68.5914,17.83,67,90,6.91,overcast clouds
170,Ondangwa,NA,-17.9167,15.95,68.0,21,0,3.44,clear sky
171,Mahajanga,MG,-15.7167,46.3167,73.42,88,20,2.3,few clouds
172,Quatre Cocos,MU,-20.2078,57.7625,75.09,73,72,14.88,broken clouds
173,Kalabo,ZM,-14.97,22.6814,70.25,74,100,5.39,overcast clouds
174,Kudahuvadhoo,MV,2.6708,72.8944,83.01,73,96,13.98,overcast clouds
175,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.28,92,53,0.4,broken clouds
176,Klaksvik,FO,62.2266,-6.589,49.12,87,86,22.79,overcast clouds
177,Kez,RU,57.8979,53.7152,34.56,96,100,5.39,overcast clouds
178,Maldonado,UY,-34.6667,-54.9167,62.22,56,0,13.42,clear sky
179,Dudinka,RU,69.4058,86.1778,25.14,96,100,12.62,light snow
180,Yauya,PE,-8.9833,-77.3,53.49,75,56,3.13,broken clouds
181,Ancud,CL,-41.8697,-73.8203,53.42,87,100,19.1,overcast clouds
182,Dikson,RU,73.5069,80.5464,11.52,88,100,18.39,overcast clouds
183,Pangnirtung,CA,66.1451,-65.7125,20.32,88,98,2.01,overcast clouds
184,Chuy,UY,-33.6971,-53.4616,57.2,66,0,11.14,clear sky
185,Westport,US,41.1415,-73.3579,60.8,80,90,5.99,overcast clouds
186,Kimparana,ML,12.8347,-4.9244,80.28,59,87,5.55,overcast clouds
187,Bolanos De Calatrava,ES,38.9069,-3.6635,51.73,69,5,1.1,clear sky
188,Porangatu,BR,-13.4408,-49.1486,74.34,84,100,3.31,light rain
189,Warmbad,NA,-28.45,18.7333,59.79,28,0,6.4,clear sky
190,Chapais,CA,49.7834,-74.8492,29.98,84,23,3.22,few clouds
191,Constitucion,CL,-35.3333,-72.4167,54.36,83,0,10.87,clear sky
192,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.71,98,93,2.46,overcast clouds
193,Tiznit,MA,29.5833,-9.5,62.69,64,97,0.89,overcast clouds
194,Kuusamo,FI,65.9667,29.1833,24.84,93,90,5.75,light snow
195,Moose Factory,CA,51.2585,-80.6094,37.4,93,90,6.91,overcast clouds
196,Camacha,PT,33.0833,-16.3333,65.62,64,40,10.36,scattered clouds
197,Bud,US,39.447,-86.1758,69.89,82,10,18.39,clear sky
198,Santa Maria,BR,-29.6842,-53.8069,52.9,94,0,2.3,clear sky
199,Goure,NE,13.9835,10.2704,83.01,19,85,7.54,overcast clouds
200,Kismayo,SO,-0.3582,42.5454,78.69,87,3,10.56,clear sky
201,Pisco,PE,-13.7,-76.2167,61.02,82,2,13.8,clear sky
202,Beisfjord,NO,68.3751,17.5988,35.26,94,100,7.16,light snow
203,Salalah,OM,17.0151,54.0924,71.69,68,0,2.3,clear sky
204,Bloemhof,ZA,-27.6469,25.607,53.28,79,41,13.33,scattered clouds
205,Morondava,MG,-20.2833,44.2833,74.32,48,0,5.68,clear sky
