City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
649,Tuskegee,US,69.15,overcast clouds,32.424,-85.6916,Macon Motel
660,Kirtipur,NP,64.33,mist,27.6667,85.2833,The Soaltee Kathmandu
668,Asfi,MA,66.15,overcast clouds,32.2994,-9.2372,Hôtel Abda
669,Abu Samrah,SY,60.66,clear sky,35.3029,37.1841,
675,Pafos,CY,62.51,clear sky,34.7667,32.4167,Elysium Hotel
676,Molina,CL,60.53,clear sky,-35.1167,-71.2833,Hostal Pucará
680,Pokhara,NP,69.55,clear sky,28.2333,83.9833,Butterfly Lodge
682,Rurrenabaque,BO,62.87,overcast clouds,-14.4413,-67.5278,Casa de Campo
683,Buraydah,SA,66.65,clear sky,26.326,43.975,فندق راحة السلام
690,Vallenar,CL,65.37,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
709,Lavumisa,SZ,65.52,overcast clouds,-27.31,31.892,ROADSIDE B&B
715,Gat,IL,67.41,clear sky,31.61,34.7642,OlusHome
